car_id,make,model,variant,year_from,stock_hp,weight_kg,displacement_cc,cylinders,stock_torque_nm,drivetrain,engine_type,fuel_type,transmission,top_speed_stock,co2_gkm,power_to_weight,log_power_to_weight,torque_to_weight,log_torque_to_weight,power_per_litre,is_awd,is_ev,is_turbocharged,is_manual,zero_hundred_stock
CAR_8A2CC4C4,Audi,A1,25 tfsi black edition 5dr,2018,93.0,1100.0,999.0,3.0,175.0,Front wheel drive,Turbocharged,Petrol,Manual,191.5,126.0,0.08454545454545455,-2.4704659656332058,0.1590909090909091,-1.8382794848629478,93.09309309309309,0,0,1,1,10.6
CAR_2CD923B6,Audi,A1,(technology pack) 30 tfsi 116ps 5d,2019,114.0,1140.0,999.0,3.0,200.0,Front wheel drive,Turbocharged,Petrol,Manual,197.9,139.0,0.1,-2.3025850929940455,0.17543859649122806,-1.7404661748405046,114.11411411411412,0,0,1,1,9.6
CAR_F32FD119,Audi,A1,10 tfsi se 3d,2010,93.0,1035.0,999.0,3.0,160.0,Front wheel drive,Turbocharged,Petrol,Manual,186.7,114.0,0.08985507246376812,-2.4095572125462135,0.15458937198067632,-1.8669828904656425,93.09309309309309,0,0,1,1,10.6
CAR_EB55F0B0,Audi,A1,10 tfsi se 5d,2012,93.0,1060.0,999.0,3.0,160.0,Front wheel drive,Turbocharged,Petrol,Manual,186.7,114.0,0.08773584905660377,-2.433424693952857,0.1509433962264151,-1.890850371872286,93.09309309309309,0,0,1,1,10.7
CAR_6DEF0D98,Audi,A1,s1 tfsi quattro 3d,2014,227.0,1315.0,1984.0,4.0,370.0,4 wheel drive,Turbocharged,Petrol,Manual,249.4,162.0,0.1726235741444867,-1.7566419271304623,0.2813688212927757,-1.2680889389735948,114.41532258064517,1,0,1,1,5.6
CAR_BCA0C83E,Audi,A2,14 5d,2000,73.0,895.0,1390.0,4.0,126.0,Front wheel drive,Naturally Aspirated,Petrol,Manual,172.2,144.0,0.08156424581005586,-2.5063642771264645,0.14078212290502792,-1.9605418113233775,52.517985611510795,0,0,0,1,11.6
CAR_12D05252,Audi,A3,12 tfsi (110bhp) s line 5d,2013,108.0,1180.0,1197.0,4.0,175.0,Front wheel drive,Turbocharged,Petrol,Manual,197.9,114.0,0.09152542372881356,-2.3911384903354906,0.1483050847457627,-1.9084837435361965,90.22556390977444,0,0,1,1,9.8
CAR_9E57EE98,Audi,A3,14 tfsi (150bhp) s line (nav) 4d,2013,147.0,1240.0,1395.0,4.0,250.0,Front wheel drive,Turbocharged,Petrol,Manual,223.7,112.0,0.11854838709677419,-2.132434071820346,0.20161290322580644,-1.6014057407368363,105.3763440860215,0,0,1,1,7.9
CAR_C9C5FEC8,Audi,A3,14 tfsi (150bhp) s line (nav) 2d,2014,147.0,1365.0,1395.0,4.0,250.0,Front wheel drive,Turbocharged,Petrol,Manual,222.1,118.0,0.1076923076923077,-2.228477120840324,0.18315018315018314,-1.6974487897568138,105.3763440860215,0,0,1,1,8.6
CAR_494B50D3,Audi,A3,15 tfsi 116 s line 5dr,2020,114.0,1285.0,1498.0,4.0,220.0,Front wheel drive,Turbocharged,Petrol,Manual,204.4,132.0,0.088715953307393,-2.4223155489348245,0.17120622568093385,-1.7648864509769586,76.10146862483312,0,0,1,1,9.4
CAR_A0F30475,Audi,A3,15 tfsi 116 s line 4dr,2020,114.0,1285.0,1498.0,4.0,220.0,Front wheel drive,Turbocharged,Petrol,Manual,209.2,127.0,0.088715953307393,-2.4223155489348245,0.17120622568093385,-1.7648864509769586,76.10146862483312,0,0,1,1,9.4
CAR_53930883,Audi,A3,s3 tfsi black ed quattro 4dr s tronic [tech pro],2020,305.0,1505.0,1984.0,4.0,400.0,4 wheel drive,Turbocharged,Petrol,Automatic,249.4,180.0,0.2026578073089701,-1.5962364005755645,0.26578073089701,-1.325083630074994,153.7298387096774,1,0,1,0,4.6
CAR_F1A92C37,Audi,A3,rs 3 tfsi qtro 400 carbon vorsprung 5dr s tronic,2021,394.0,1565.0,2480.0,5.0,500.0,4 wheel drive,Turbocharged,Petrol,Automatic,280.0,213.0,0.25175718849840256,-1.3792901936763198,0.3194888178913738,-1.1410330045520618,158.8709677419355,1,0,1,0,3.7
