car_id,make,model,variant,year_from,displacement_cc,cylinders,stock_hp,stock_torque_nm,weight_kg,drivetrain,transmission,engine_type,fuel_type,top_speed_stock,zero_hundred_stock,co2_gkm,source_url
CAR_8A2CC4C4,Audi,A1,25 tfsi black edition 5dr,2018,999.0,3.0,93.0,175.0,1100.0,Front wheel drive,Manual,Turbocharged,Petrol,191.5,10.6,126.0,https://www.parkers.co.uk/audi/a1/sportback-2018/25-tfsi-black-edition-5dr/specs/
CAR_2CD923B6,Audi,A1,(technology pack) 30 tfsi 116ps 5d,2019,999.0,3.0,114.0,200.0,1140.0,Front wheel drive,Manual,Turbocharged,Petrol,197.9,9.6,139.0,https://www.parkers.co.uk/audi/a1/citycarver-2019/(technology-pack)-30-tfsi-116ps-5d/specs/
CAR_F32FD119,Audi,A1,10 tfsi se 3d,2010,999.0,3.0,93.0,160.0,1035.0,Front wheel drive,Manual,Turbocharged,Petrol,186.7,10.6,114.0,https://www.parkers.co.uk/audi/a1/hatchback-2010/10-tfsi-se-3d/specs/
CAR_EB55F0B0,Audi,A1,10 tfsi se 5d,2012,999.0,3.0,93.0,160.0,1060.0,Front wheel drive,Manual,Turbocharged,Petrol,186.7,10.7,114.0,https://www.parkers.co.uk/audi/a1/sportback-2012/10-tfsi-se-5d/specs/
CAR_6DEF0D98,Audi,A1,s1 tfsi quattro 3d,2014,1984.0,4.0,227.0,370.0,1315.0,4 wheel drive,Manual,Turbocharged,Petrol,249.4,5.6,162.0,https://www.parkers.co.uk/audi/a1/s1-2014/s1-tfsi-quattro-3d/specs/
CAR_BCA0C83E,Audi,A2,14 5d,2000,1390.0,4.0,73.0,126.0,895.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,172.2,11.6,144.0,https://www.parkers.co.uk/audi/a2/hatchback-2000/14-5d/specs/
CAR_12D05252,Audi,A3,12 tfsi (110bhp) s line 5d,2013,1197.0,4.0,108.0,175.0,1180.0,Front wheel drive,Manual,Turbocharged,Petrol,197.9,9.8,114.0,https://www.parkers.co.uk/audi/a3/sportback-2013/12-tfsi-(110bhp)-s-line-5d/specs/
CAR_9E57EE98,Audi,A3,14 tfsi (150bhp) s line (nav) 4d,2013,1395.0,4.0,147.0,250.0,1240.0,Front wheel drive,Manual,Turbocharged,Petrol,223.7,7.9,112.0,https://www.parkers.co.uk/audi/a3/saloon-2013/14-tfsi-(150bhp)-s-line-(nav)-4d/specs/
CAR_C9C5FEC8,Audi,A3,14 tfsi (150bhp) s line (nav) 2d,2014,1395.0,4.0,147.0,250.0,1365.0,Front wheel drive,Manual,Turbocharged,Petrol,222.1,8.6,118.0,https://www.parkers.co.uk/audi/a3/cabriolet-2014/14-tfsi-(150bhp)-s-line-(nav)-2d/specs/
CAR_494B50D3,Audi,A3,15 tfsi 116 s line 5dr,2020,1498.0,4.0,114.0,220.0,1285.0,Front wheel drive,Manual,Turbocharged,Petrol,204.4,9.4,132.0,https://www.parkers.co.uk/audi/a3/sportback-2020/15-tfsi-116-s-line-5dr/specs/
CAR_A0F30475,Audi,A3,15 tfsi 116 s line 4dr,2020,1498.0,4.0,114.0,220.0,1285.0,Front wheel drive,Manual,Turbocharged,Petrol,209.2,9.4,127.0,https://www.parkers.co.uk/audi/a3/saloon-2020/15-tfsi-116-s-line-4dr/specs/
CAR_53930883,Audi,A3,s3 tfsi black ed quattro 4dr s tronic [tech pro],2020,1984.0,4.0,305.0,400.0,1505.0,4 wheel drive,Automatic,Turbocharged,Petrol,249.4,4.6,180.0,https://www.parkers.co.uk/audi/a3/s3-2020/s3-tfsi-black-ed-quattro-4dr-s-tronic-[tech-pro]/specs/
CAR_F1A92C37,Audi,A3,rs 3 tfsi qtro 400 carbon vorsprung 5dr s tronic,2021,2480.0,5.0,394.0,500.0,1565.0,4 wheel drive,Automatic,Turbocharged,Petrol,280.0,3.7,213.0,https://www.parkers.co.uk/audi/a3/rs-3-sportback-2021/rs-3-tfsi-qtro-400-carbon-vorsprung-5dr-s-tronic/specs/
CAR_0789D367,Audi,A3,rs 3 tfsi qtro 400 carbon vorsprung 4dr s tronic,2021,2480.0,5.0,394.0,500.0,1565.0,4 wheel drive,Automatic,Turbocharged,Petrol,280.0,3.7,209.0,https://www.parkers.co.uk/audi/a3/rs-3-saloon-2021/rs-3-tfsi-qtro-400-carbon-vorsprung-4dr-s-tronic/specs/
CAR_F134EEE2,Audi,A3,15 tfsi e 204 black ed 5dr s tronic [tech pack],2025,1498.0,4.0,201.0,350.0,1600.0,Front wheel drive,Automatic,Turbocharged,Petrol Parallel PHEV,225.3,7.2,29.0,https://www.parkers.co.uk/audi/a3/phev-2025/15-tfsi-e-204-black-ed-5dr-s-tronic-[tech-pack]/specs/
CAR_53F62B3B,Audi,A3,12 tfsi (start stop) 3d,2003,1197.0,4.0,103.0,175.0,1205.0,Front wheel drive,Manual,Turbocharged,Petrol,191.5,10.6,127.0,https://www.parkers.co.uk/audi/a3/hatchback-2003/12-tfsi-(start-stop)-3d/specs/
CAR_5B863EC7,Audi,A3,12 t fsi (start stop) 5d,2004,1197.0,4.0,103.0,175.0,1245.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,191.5,10.9,127.0,https://www.parkers.co.uk/audi/a3/sportback-2004/12-t-fsi-(start-stop)-5d/specs/
CAR_90415E34,Audi,A3,12 t fsi (start stop) 2d,2008,1197.0,4.0,103.0,175.0,1360.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,189.9,11.8,132.0,https://www.parkers.co.uk/audi/a3/cabriolet-2008/12-t-fsi-(start-stop)-2d/specs/
