build_id,car_id,make,model,variant,year,mods_applied,mod_description,result_hp,result_torque,result_0_100,result_top_speed,result_quarter_mile,measurement_type,source_type,source_url,confidence
BUILD_6BD156C8,CAR_5256C2C6,VW,Golf GTI,Mk7 2.0 TSI IS20,2015.0,Stage 1 ECU;Intake,APR Stage 1 ECU remap + cold air intake,260.0,370.0,6.0,255.0,13.9,dyno,community,static_curated,0.75
BUILD_67DF6832,CAR_5256C2C6,VW,Golf GTI,Mk7 2.0 TSI IS20,2015.0,Stage 2 ECU;Intake;Downpipe;FMIC,APR Stage 2: ECU + intake + downpipe + front-mount intercooler,320.0,430.0,5.3,270.0,13.2,dyno,community,static_curated,0.75
BUILD_2D84249F,CAR_5256C2C6,VW,Golf GTI,Mk7 2.0 TSI IS20,2015.0,IS38 Turbo Upgrade;Stage 2 ECU;Intake;Downpipe;FMIC;DSG Tune,IS38 swap + full Stage 2 supporting mods + DSG remap,390.0,490.0,4.7,282.0,12.6,dyno,community,static_curated,0.75
BUILD_CD8901F7,CAR_5256C2C6,VW,Golf GTI,Mk7.5 2.0 TSI IS38,2018.0,Stage 1 ECU,"Unitronic Stage 1 ECU remap only, bolt-on safe",295.0,410.0,5.5,262.0,13.5,dyno,community,static_curated,0.75
BUILD_DDC7A43D,CAR_5256C2C6,VW,Golf GTI,Mk7.5 2.0 TSI IS38,2018.0,Stage 2 ECU;Intake;Downpipe;FMIC;DSG Tune,Unitronic Stage 2 full: ECU + Milltek downpipe + FMIC + DSG,380.0,490.0,4.8,280.0,12.8,dyno,community,static_curated,0.75
BUILD_CDB6E66C,CAR_BA0EBC6F,VW,Golf R,Mk7 2.0 TSI 4Motion,2016.0,Stage 1 ECU,"APR Stage 1, bolt-on only",360.0,460.0,4.5,275.0,12.8,dyno,community,static_curated,0.75
BUILD_800A37B3,CAR_BA0EBC6F,VW,Golf R,Mk7 2.0 TSI 4Motion,2016.0,Stage 2 ECU;Downpipe;FMIC;Intake;DSG Tune,Stage 2 full bolt-on: remap + downpipe + FMIC + intake + DSG,430.0,520.0,4.0,285.0,12.0,dyno,community,static_curated,0.75
BUILD_2D72D476,CAR_C531A25D,Audi,S3,8V 2.0 TFSI,2015.0,Stage 1 ECU,Revo Stage 1 ECU remap,340.0,450.0,4.6,272.0,13.0,dyno,community,static_curated,0.75
BUILD_288444AD,CAR_C531A25D,Audi,S3,8V 2.0 TFSI,2015.0,Stage 2 ECU;Downpipe;FMIC;Intake,Stage 2: Revo ECU + VRSF downpipe + FMIC + intake,400.0,510.0,4.1,285.0,12.4,dyno,community,static_curated,0.75
BUILD_9343197F,CAR_813EA7A5,BMW,M3,F80 3.0 S55,2016.0,Stage 1 ECU;Downpipe,MHD Stage 2 flash + catless downpipes,480.0,620.0,3.8,300.0,11.8,dyno,community,static_curated,0.75
BUILD_26A7DBB7,CAR_C56A2FD9,BMW,M4,F82 3.0 S55,2017.0,Stage 2 ECU;Downpipe;FMIC;Charge Pipe,MHD Stage 2 + Wagner FMIC + catless DP + charge pipe,530.0,680.0,3.6,310.0,11.4,dyno,community,static_curated,0.75
BUILD_8A867D4F,CAR_F9118DB0,BMW,335i,F30 3.0 N55,2014.0,Stage 1 ECU;Downpipe,MHD Stage 1+ with catless downpipe,380.0,520.0,4.4,285.0,12.5,dyno,community,static_curated,0.75
BUILD_6EA5F78F,CAR_7C9F1F7C,Subaru,WRX STI,VA 2.5 EJ257,2016.0,Stage 1 ECU;Intake;Downpipe,Cobb Accessport Stage 2 OTS map + intake + Invidia DP,340.0,440.0,5.0,255.0,13.2,dyno,community,static_curated,0.75
BUILD_BAF5FBE5,CAR_7C9F1F7C,Subaru,WRX STI,VA 2.5 EJ257,2016.0,Turbo Upgrade;TMIC;Injectors;Stage 3 ECU;Exhaust,Blouch 20G turbo + TMIC + 850cc injectors + E85 tune,480.0,580.0,3.9,278.0,11.6,dyno,community,static_curated,0.75
BUILD_CAD769EF,CAR_FBA06F42,Subaru,WRX,VB 2.4 FA24DIT,2022.0,Stage 1 ECU;Intake,Cobb Accessport Stage 1 + Cobb SF intake,310.0,430.0,5.3,250.0,13.5,dyno,community,static_curated,0.75
BUILD_184F50E5,CAR_DBAA02F6,Honda,Civic Type R,FK8 2.0 K20C1,2018.0,Stage 1 ECU;Intake,Hondata FlashPro Stage 1 + J's Racing intake,345.0,430.0,5.4,275.0,13.4,dyno,community,static_curated,0.75
BUILD_A8ECA324,CAR_DBAA02F6,Honda,Civic Type R,FK8 2.0 K20C1,2018.0,Turbo Upgrade;FMIC;Downpipe;Stage 2 ECU;Intake,Precision 6266 turbo + FMIC + Hondata tune + full exhaust,500.0,560.0,4.2,295.0,11.8,dyno,community,static_curated,0.75
BUILD_C3C44220,CAR_B6CF4A99,Mitsubishi,Lancer Evo X,CZ4A 2.0 4B11T,2010.0,Stage 1 ECU;Intake;Downpipe,EvoTune Stage 2 map + Injen intake + catless DP,380.0,480.0,4.2,275.0,12.5,dyno,community,static_curated,0.75
BUILD_5B444DD5,CAR_B6CF4A99,Mitsubishi,Lancer Evo X,CZ4A 2.0 4B11T,2010.0,Turbo Upgrade;FMIC;Injectors;Stage 3 ECU;Exhaust,Garrett GTX3076R + FMIC + 1050cc injectors + EvoTune aggressive map,550.0,640.0,3.4,290.0,10.8,dyno,community,static_curated,0.75
BUILD_3FA92D60,CAR_810C303A,Ford,Focus ST,Mk3 2.0 EcoBoost,2014.0,Stage 1 ECU;Intake,Mountune Stage 1 remap + upgraded intake,282.0,395.0,5.8,256.0,13.8,dyno,community,static_curated,0.75
BUILD_0E80941A,CAR_810C303A,Ford,Focus ST,Mk3 2.0 EcoBoost,2014.0,Stage 2 ECU;FMIC;Intake;Downpipe,Mountune MP275: ECU + FMIC + intake + downpipe,315.0,440.0,5.2,263.0,13.2,dyno,community,static_curated,0.75
BUILD_19C2A555,CAR_0385B6A8,Toyota,GR Yaris,GXPA16 1.6 G16E-GTS,2021.0,Stage 1 ECU;Intake,Ecutek Stage 1 + Ramair intake,295.0,405.0,5.0,240.0,13.3,dyno,community,static_curated,0.75
BUILD_32772629,CAR_0385B6A8,Toyota,GR Yaris,GXPA16 1.6 G16E-GTS,2021.0,Stage 2 ECU;FMIC;Intake;Exhaust,Ecutek Stage 2 + Wagner FMIC + catback exhaust,365.0,475.0,4.3,256.0,12.4,dyno,community,static_curated,0.75
BUILD_149F98A1,CAR_BC5038A5,Mercedes,A45 AMG,W176 2.0 M133,2016.0,Stage 1 ECU;Intake,Weistec W.1 ECU upgrade + performance intake,418.0,535.0,4.0,280.0,12.2,dyno,community,static_curated,0.75
BUILD_DD7C84FA,CAR_56F83E9F,Skoda,Octavia RS,5E 2.0 TSI,2017.0,Stage 1 ECU;Intake,Unitronic Stage 1 + K&N panel filter,268.0,385.0,6.1,256.0,14.0,dyno,community,static_curated,0.75
BUILD_E8B3A6B9,CAR_56F83E9F,Skoda,Octavia RS,5E 2.0 TSI,2017.0,Stage 2 ECU;FMIC;Downpipe;Intake;DSG Tune,Unitronic Stage 2 full package with DSG flash,355.0,465.0,5.2,266.0,13.0,dyno,community,static_curated,0.75
BUILD_12114361,CAR_375399BD,Renault,Megane RS,Mk4 280 EDC,2019.0,Stage 1 ECU,Remap to 340 hp — bolt-on only,340.0,430.0,5.5,265.0,13.6,dyno,community,static_curated,0.75
BUILD_869F139D,CAR_4DD174A1,Porsche,911 Carrera,992 3.0 T,2020.0,Stage 1 ECU,Softronic / TechArt ECU Stage 1,450.0,570.0,3.8,305.0,11.9,dyno,community,static_curated,0.75
BUILD_DC7E3215,CAR_DD426F4C,VW,Polo GTI,AW 2.0 TSI,2019.0,Stage 1 ECU,Revo Stage 1 remap only,235.0,335.0,6.3,242.0,14.4,dyno,community,static_curated,0.75
BUILD_74B7D5E0,CAR_10E5D6D9,SEAT,Leon Cupra,5F 2.0 TSI,2017.0,Stage 2 ECU;Downpipe;FMIC;Intake;DSG Tune,Revo Stage 2 + downpipe + FMIC + intake + DSG,370.0,460.0,4.9,272.0,13.1,dyno,community,static_curated,0.75
BUILD_3B11808C,,Chevrolet,Corvette,Coupe,2006.0,,Engine LS2; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU currently can't Tune auto Trans; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,7.29,,13.021,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Corvette-Timeslip-9909.html,0.6
BUILD_90F6451E,,Mitsubishi,3000GT,VR4,1994.0,,Engine 3.0 L V6; Turbos twin AGP L1R; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust custom; Computer ECU AEM; Clutch RPS Carbon-Carbon TwinDisc; Boost Control :; Pistons :; Pulley Transmission,,,5.83,,10.416,measured,dragtimes,https://www.dragtimes.com/Mitsubishi-3000GT-Timeslip-7149.html,0.6
BUILD_808FFACA,,Mitsubishi,Lancer EVO,IX,2006.0,,Nitrous Kit :; Intake & Air Filter Buschur; Headers /; Downpipe Buschur; Exhaust Buschur; Computer ECU Dynoflashed; Clutch Exedy Twin HD; Boost Control :; Pistons :,,,6.47,,11.56,measured,dragtimes,https://www.dragtimes.com/Mitsubishi-Lancer-EVO-Timeslip-8454.html,0.6
BUILD_BB653A14,,Mercedes-Benz,CL65 AMG,Car Year:,2005.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler CM030 pump; Nitrous Kit :; Intake & Air Filter BMC Drop-in filters; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.28,,11.209,measured,dragtimes,https://www.dragtimes.com/Mercedes-Benz-CL65-AMG-Timeslip-17956.html,0.6
BUILD_615BAD80,,Mitsubishi,Eclipse,GSX,1992.0,,Engine 2.0L Stock; Turbos Buschur BR440; Intercooler Buschur Race; Nitrous Kit :; Intake & Air Filter Venom; Headers /; Downpipe Extreme 3; Exhaust Extreme 3; Computer ECU DSM Chips; Clutch Clutchmasters Stage 4 (4puck); Boost Control :; Pistons :,,,6.42,,11.465,measured,dragtimes,https://www.dragtimes.com/Mitsubishi-Eclipse-Timeslip-7855.html,0.6
BUILD_7BF4A87D,,Chevrolet,Chevy,Base 2 dr,1977.0,,Engine 1970 heavy 350 stock bore; Turbos No; Supercharger No; Intercooler No; Nitrous Kit :; Intake & Air Filter Open plenum; Headers /; Downpipe 1 3/4; Exhaust No; Computer ECU Na; Clutch Cone; Boost Control :; Pistons :; Pulley Na,,,5.99,,10.7,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Chevy-Timeslip-28605.html,0.6
BUILD_33C9AF31,,Subaru,Outback,2.5XT Limited,2005.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,8.74,,15.61,measured,dragtimes,https://www.dragtimes.com/Subaru-Outback-Timeslip-3540.html,0.6
BUILD_1CCCD5D5,,Honda,Prelude,2.0-16 Turbo,1989.0,,Engine B20A; Turbos Garret T28; Supercharger Boost Control; Intercooler Huge!!  (ex Volvo Truck); Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Custom; Exhaust Dytec; Computer ECU Link V5; Clutch Heavy duty 4 puck; Boost Control :; Pistons :; Pulley Transmission,,,7.77,,13.88,measured,dragtimes,https://www.dragtimes.com/Honda-Prelude-Timeslip-4872.html,0.6
BUILD_B8B4710D,,Dodge,Neon SRT-4,srt4,2005.0,,Engine 2.4L; Turbos stock turbo; Supercharger no; Intercooler yes   ssac; Nitrous Kit :; Intake & Air Filter aem; Headers /; Downpipe mpx; Exhaust mpx; Computer ECU stage 1; Clutch clucth master stage 4; Boost Control :; Pistons :; Pulley mpx,,,7.09,,12.655,measured,dragtimes,https://www.dragtimes.com/Dodge-Neon-SRT-4-Timeslip-14344.html,0.6
BUILD_1723FD41,,Chevrolet,Corvette,Supercharged with Nitrous,2000.0,,Engine Turbos:; Turbos Supercharger:; Supercharger procharger; Intercooler single; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch pro torque; Boost Control :; Pistons :; Pulley Transmission,,,5.46,,9.75,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Corvette-Timeslip-8155.html,0.6
BUILD_C05247EF,,Chevrolet,Corvette,Car Year:,1970.0,,Engine 511 ci; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,4.98,,8.898,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Corvette-Timeslip-6483.html,0.6
