build_id,car_id,make,model,variant,year,mods_applied,mod_description,result_hp,result_torque,result_0_100,result_top_speed,result_quarter_mile,measurement_type,source_type,source_url,result_torque_nm,confidence
BUILD_6BD156C8,CAR_5256C2C6,VW,Golf GTI,Mk7 2.0 TSI IS20,2015.0,Stage 1 ECU;Intake,APR Stage 1 ECU remap + cold air intake,260.0,370,6.0,255.0,13.9,dyno,community,static_curated,,
BUILD_67DF6832,CAR_5256C2C6,VW,Golf GTI,Mk7 2.0 TSI IS20,2015.0,Stage 2 ECU;Intake;Downpipe;FMIC,APR Stage 2: ECU + intake + downpipe + front-mount intercooler,320.0,430,5.3,270.0,13.2,dyno,community,static_curated,,
BUILD_2D84249F,CAR_5256C2C6,VW,Golf GTI,Mk7 2.0 TSI IS20,2015.0,IS38 Turbo Upgrade;Stage 2 ECU;Intake;Downpipe;FMIC;DSG Tune,IS38 swap + full Stage 2 supporting mods + DSG remap,390.0,490,4.7,282.0,12.6,dyno,community,static_curated,,
BUILD_CD8901F7,CAR_5256C2C6,VW,Golf GTI,Mk7.5 2.0 TSI IS38,2018.0,Stage 1 ECU,"Unitronic Stage 1 ECU remap only, bolt-on safe",295.0,410,5.5,262.0,13.5,dyno,community,static_curated,,
BUILD_DDC7A43D,CAR_5256C2C6,VW,Golf GTI,Mk7.5 2.0 TSI IS38,2018.0,Stage 2 ECU;Intake;Downpipe;FMIC;DSG Tune,Unitronic Stage 2 full: ECU + Milltek downpipe + FMIC + DSG,380.0,490,4.8,280.0,12.8,dyno,community,static_curated,,
BUILD_CDB6E66C,CAR_BA0EBC6F,VW,Golf R,Mk7 2.0 TSI 4Motion,2016.0,Stage 1 ECU,"APR Stage 1, bolt-on only",360.0,460,4.5,275.0,12.8,dyno,community,static_curated,,
BUILD_800A37B3,CAR_BA0EBC6F,VW,Golf R,Mk7 2.0 TSI 4Motion,2016.0,Stage 2 ECU;Downpipe;FMIC;Intake;DSG Tune,Stage 2 full bolt-on: remap + downpipe + FMIC + intake + DSG,430.0,520,4.0,285.0,12.0,dyno,community,static_curated,,
BUILD_2D72D476,CAR_C531A25D,Audi,S3,8V 2.0 TFSI,2015.0,Stage 1 ECU,Revo Stage 1 ECU remap,340.0,450,4.6,272.0,13.0,dyno,community,static_curated,,
BUILD_288444AD,CAR_C531A25D,Audi,S3,8V 2.0 TFSI,2015.0,Stage 2 ECU;Downpipe;FMIC;Intake,Stage 2: Revo ECU + VRSF downpipe + FMIC + intake,400.0,510,4.1,285.0,12.4,dyno,community,static_curated,,
BUILD_9343197F,CAR_813EA7A5,BMW,M3,F80 3.0 S55,2016.0,Stage 1 ECU;Downpipe,MHD Stage 2 flash + catless downpipes,480.0,620,3.8,300.0,11.8,dyno,community,static_curated,,
BUILD_26A7DBB7,CAR_C56A2FD9,BMW,M4,F82 3.0 S55,2017.0,Stage 2 ECU;Downpipe;FMIC;Charge Pipe,MHD Stage 2 + Wagner FMIC + catless DP + charge pipe,530.0,680,3.6,310.0,11.4,dyno,community,static_curated,,
BUILD_8A867D4F,CAR_F9118DB0,BMW,335i,F30 3.0 N55,2014.0,Stage 1 ECU;Downpipe,MHD Stage 1+ with catless downpipe,380.0,520,4.4,285.0,12.5,dyno,community,static_curated,,
BUILD_6EA5F78F,CAR_7C9F1F7C,Subaru,WRX STI,VA 2.5 EJ257,2016.0,Stage 1 ECU;Intake;Downpipe,Cobb Accessport Stage 2 OTS map + intake + Invidia DP,340.0,440,5.0,255.0,13.2,dyno,community,static_curated,,
BUILD_BAF5FBE5,CAR_7C9F1F7C,Subaru,WRX STI,VA 2.5 EJ257,2016.0,Turbo Upgrade;TMIC;Injectors;Stage 3 ECU;Exhaust,Blouch 20G turbo + TMIC + 850cc injectors + E85 tune,480.0,580,3.9,278.0,11.6,dyno,community,static_curated,,
BUILD_CAD769EF,CAR_FBA06F42,Subaru,WRX,VB 2.4 FA24DIT,2022.0,Stage 1 ECU;Intake,Cobb Accessport Stage 1 + Cobb SF intake,310.0,430,5.3,250.0,13.5,dyno,community,static_curated,,
BUILD_184F50E5,CAR_DBAA02F6,Honda,Civic Type R,FK8 2.0 K20C1,2018.0,Stage 1 ECU;Intake,Hondata FlashPro Stage 1 + J's Racing intake,345.0,430,5.4,275.0,13.4,dyno,community,static_curated,,
BUILD_A8ECA324,CAR_DBAA02F6,Honda,Civic Type R,FK8 2.0 K20C1,2018.0,Turbo Upgrade;FMIC;Downpipe;Stage 2 ECU;Intake,Precision 6266 turbo + FMIC + Hondata tune + full exhaust,500.0,560,4.2,295.0,11.8,dyno,community,static_curated,,
BUILD_C3C44220,CAR_B6CF4A99,Mitsubishi,Lancer Evo X,CZ4A 2.0 4B11T,2010.0,Stage 1 ECU;Intake;Downpipe,EvoTune Stage 2 map + Injen intake + catless DP,380.0,480,4.2,275.0,12.5,dyno,community,static_curated,,
BUILD_5B444DD5,CAR_B6CF4A99,Mitsubishi,Lancer Evo X,CZ4A 2.0 4B11T,2010.0,Turbo Upgrade;FMIC;Injectors;Stage 3 ECU;Exhaust,Garrett GTX3076R + FMIC + 1050cc injectors + EvoTune aggressive map,550.0,640,3.4,290.0,10.8,dyno,community,static_curated,,
