build_id,car_id,make,model,variant,year,mods_applied,mod_description,result_hp,result_torque,result_0_100,result_top_speed,result_quarter_mile,measurement_type,source_type,source_url
BUILD_A958C3A3,CAR_5256C2C6,VW,Golf GTI,Mk7 2.0 TSI IS20,2015,Stage 1 ECU;Cold Air Intake,APR Stage 1 ECU remap + aftermarket intake,260,360,6.0,255,13.9,dyno,community,static_curated
BUILD_7C05A9E0,CAR_5256C2C6,VW,Golf GTI,Mk7 2.0 TSI IS20,2015,Stage 2 ECU;Cold Air Intake;Downpipe;Intercooler,APR Stage 2: ECU + intake + downpipe + FMIC,320,430,5.3,270,13.2,dyno,community,static_curated
BUILD_CD8901F7,CAR_5256C2C6,VW,Golf GTI,Mk7.5 2.0 TSI IS38,2018,Stage 1 ECU,Unitronic Stage 1 ECU remap only,295,410,5.5,262,13.5,dyno,community,static_curated
BUILD_461F8B2C,CAR_5256C2C6,VW,Golf GTI,Mk7.5 2.0 TSI IS38,2018,Stage 2 ECU;Cold Air Intake;Downpipe;Intercooler;DSG Tune,Full Stage 2: ECU + intake + Milltek downpipe + FMIC + DSG remap,380,490,4.8,280,12.8,dyno,community,static_curated
BUILD_CDB6E66C,CAR_BA0EBC6F,VW,Golf R,Mk7 2.0 TSI 4Motion,2016,Stage 1 ECU,"APR Stage 1 ECU, bolt-on only",360,460,4.5,275,12.8,dyno,community,static_curated
BUILD_34183F9A,CAR_BA0EBC6F,VW,Golf R,Mk7 2.0 TSI 4Motion,2016,Stage 2 ECU;Downpipe;Intercooler;Intake;DSG Tune,Stage 2 full bolt-on: remap + downpipe + FMIC + intake + DSG,430,520,4.0,285,12.0,dyno,community,static_curated
BUILD_2D72D476,CAR_C531A25D,Audi,S3,8V 2.0 TFSI,2015,Stage 1 ECU,Revo Stage 1 ECU remap,340,450,4.6,272,13.0,dyno,community,static_curated
BUILD_B27298B0,CAR_C531A25D,Audi,S3,8V 2.0 TFSI,2015,Stage 2 ECU;Downpipe;Intercooler;Intake,Stage 2: Revo ECU + VRSF downpipe + FMIC + intake,400,510,4.1,285,12.4,dyno,community,static_curated
BUILD_9343197F,CAR_813EA7A5,BMW,M3,F80 3.0 S55,2016,Stage 1 ECU;Downpipe,MHD Stage 2 flash + catless downpipes,480,620,3.8,300,11.8,dyno,community,static_curated
BUILD_BCAE3A12,CAR_C56A2FD9,BMW,M4,F82 3.0 S55,2017,Stage 2 ECU;Downpipe;Intercooler;Charge Pipe,MHD Stage 2 + Wagner FMIC + catless DP + charge pipe,530,680,3.6,310,11.4,dyno,community,static_curated
BUILD_6EA5F78F,CAR_7C9F1F7C,Subaru,WRX STI,VA 2.5 EJ257,2016,Stage 1 ECU;Intake;Downpipe,Cobb Accessport Stage 2: OTS map + intake + Invidia DP,340,440,5.0,255,13.2,dyno,community,static_curated
BUILD_485FA20B,CAR_7C9F1F7C,Subaru,WRX STI,VA 2.5 EJ257,2016,Stage 2 ECU;Turbo Upgrade;Intercooler;Injectors;Fuel Pump,Tomei turbo + TMIC + injectors + E85 tune + forged internals,500,600,3.8,280,11.5,dyno,community,static_curated
BUILD_184F50E5,CAR_DBAA02F6,Honda,Civic Type R,FK8 2.0 K20C1,2018,Stage 1 ECU;Intake,Hondata FlashPro Stage 1 + J's Racing intake,340,420,5.5,275,13.5,dyno,community,static_curated
