car_id,make,model,variant,raw_title,year_from,year_to,displacement_cc,cylinders,stock_hp,stock_torque_nm,weight_kg,drivetrain,transmission,engine_type,fuel_type,drag_coef,frontal_area_m2,top_speed_stock,top_speed_mph,zero_hundred_stock,co2_gkm,source_url
CAR_081A8623,Bmw,1 Series,120 m sport 5dr step auto,BMW 1-Series Hatchback120 M Sport 5dr Step Auto Specs & dimensions,2024,,1499.0,3.0,153.0,280.0,1425.0,Front wheel drive,Automatic,Naturally Aspirated,Petrol,,,225.3,140.0,7.6,121.0,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/120-m-sport-5dr-step-auto/specs/
CAR_A3937D93,Bmw,1 Series,120 m sport 5dr step auto [pro pack],BMW 1-Series Hatchback120 M Sport 5dr Step Auto [Pro Pack] Specs & dimensions,2024,,1499.0,3.0,153.0,280.0,1425.0,Front wheel drive,Automatic,Naturally Aspirated,Petrol,,,225.3,140.0,7.6,121.0,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/120-m-sport-5dr-step-auto-[pro-pack]/specs/
CAR_C3E10FF0,Bmw,1 Series,120 m sport 5dr step auto [tech pack],BMW 1-Series Hatchback120 M Sport 5dr Step Auto [Tech+ Pack] Specs & dimensions,2024,,1499.0,3.0,153.0,280.0,1425.0,Front wheel drive,Automatic,Naturally Aspirated,Petrol,,,225.3,140.0,7.6,121.0,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/120-m-sport-5dr-step-auto-[tech-pack]/specs/
CAR_BA15D93A,Bmw,1 Series,120 m sport 5dr step auto [techpro pack],BMW 1-Series Hatchback120 M Sport 5dr Step Auto [Tech+/Pro Pack] Specs & dimensions,2024,,1499.0,3.0,153.0,280.0,1425.0,Front wheel drive,Automatic,Naturally Aspirated,Petrol,,,225.3,140.0,7.6,121.0,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/120-m-sport-5dr-step-auto-[techpro-pack]/specs/
CAR_95E66BDB,Bmw,1 Series,120 sport 5dr step auto,BMW 1-Series Hatchback120 Sport 5dr Step Auto Specs & dimensions,2024,,1499.0,3.0,153.0,280.0,1425.0,Front wheel drive,Automatic,Naturally Aspirated,Petrol,,,225.3,140.0,7.6,121.0,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/120-sport-5dr-step-auto/specs/
CAR_CE01A380,Bmw,1 Series,120 sport 5dr step auto [tech pack],BMW 1-Series Hatchback120 Sport 5dr Step Auto [Tech+ Pack] Specs & dimensions,2024,,1499.0,3.0,153.0,280.0,1425.0,Front wheel drive,Automatic,Naturally Aspirated,Petrol,,,225.3,140.0,7.6,121.0,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/120-sport-5dr-step-auto-[tech-pack]/specs/
CAR_1BCB8161,Bmw,1 Series,123 xdrive m sport 5dr step auto,BMW 1-Series Hatchback123 xDrive M Sport 5dr Step Auto Specs & dimensions,2024,,1998.0,4.0,201.0,360.0,1530.0,4 wheel drive,Automatic,Naturally Aspirated,Petrol,,,246.2,153.0,6.1,135.0,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/123-xdrive-m-sport-5dr-step-auto/specs/
CAR_1ADEA45A,Bmw,1 Series,123 xdrive m sport 5dr step auto [pro pack],BMW 1-Series Hatchback123 xDrive M Sport 5dr Step Auto [Pro Pack] Specs & dimensions,2024,,1998.0,4.0,201.0,360.0,1530.0,4 wheel drive,Automatic,Naturally Aspirated,Petrol,,,246.2,153.0,6.1,135.0,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/123-xdrive-m-sport-5dr-step-auto-[pro-pack]/specs/
CAR_F67455E8,Bmw,1 Series,123 xdrive m sport 5dr step auto [tech pack],BMW 1-Series Hatchback123 xDrive M Sport 5dr Step Auto [Tech+ Pack] Specs & dimensions,2024,,1998.0,4.0,201.0,360.0,1530.0,4 wheel drive,Automatic,Naturally Aspirated,Petrol,,,246.2,153.0,6.1,135.0,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/123-xdrive-m-sport-5dr-step-auto-[tech-pack]/specs/
CAR_CD62118D,Bmw,1 Series,123 xdrive m sport 5dr step auto [techpro pack],BMW 1-Series Hatchback123 xDrive M Sport 5dr Step Auto [Tech+/Pro Pack] Specs & dimensions,2024,,1998.0,4.0,201.0,360.0,1530.0,4 wheel drive,Automatic,Naturally Aspirated,Petrol,,,246.2,153.0,6.1,135.0,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/123-xdrive-m-sport-5dr-step-auto-[techpro-pack]/specs/
CAR_1740B2A2,Bmw,1 Series,trim m sport,BMW 1-Series Hatchback M Sport (2024 - 2026)Specs & dimensions,2024,2026,,,,,,,,Unknown,,,,,,,,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/trim-m-sport/specs/
CAR_B9012C91,Bmw,1 Series,trim sport,BMW 1-Series Hatchback Sport (2024 - 2026)Specs & dimensions,2024,2026,,,,,,,,Unknown,,,,,,,,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/trim-sport/specs/
CAR_C8155CCF,Bmw,1 Series,engine 15i petrol,BMW 1-Series Hatchback 1.5i Petrol (2024 - 2026)Specs & dimensions,2024,2026,,,,,,,,Unknown,,,,,,,,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/engine-15i-petrol/specs/
CAR_45914E92,Bmw,1 Series,engine 20i petrol,BMW 1-Series Hatchback 2.0i Petrol (2024 - 2026)Specs & dimensions,2024,2026,,,,,,,,Unknown,,,,,,,,https://www.parkers.co.uk/bmw/1-series/hatchback-2024/engine-20i-petrol/specs/
